objective_id,name,trigger,quest_log,quest_id,sparks,xp,flags
1,First Step Forward +,,,,100,300,
2,Vanquish 1 Enemy +,mobKill,,,100,500,
3,Undertake a FoV Training Regime,,,,100,500,
4,Heal without magic,,,,100,500,
5,All for One,,,,100,300,
11,Undertake a GoV Training Regime,,,,100,500,
499,Stepping into an Ambuscade,,,,100,300,
932,Call Forth an Alter Ego (gives Cipher: Valaineral),,,,100,300,
933,Alter Ego: Valaineral (gives Cipher: Mihli),,,,100,300,
934,Alter Ego: Mihli Aliapoh (gives Cipher: Tenzen),,,,100,300,
935,Alter Ego: Tenzen (gives Cipher: Adelheid),,,,100,300,
936,Alter Ego: Adelheid (gives Cipher: Joachim),,,,100,300,
937,Alter Ego: Joachim,,,,100,500,
1448,Assist Channel,,,,100,300,
1045,Achieve Level 99 (gives Kupon A-PK109 x5),,,,200,300,retro
1046,An Eminent Scholar (gives Kupon W-EMI),talkToRoeNpc,,,200,200,
1047,An Eminent Scholar 2 (gives Kupon A-EMI),talkToRoeNpc,,,200,200,
1048,An Eminent Scholar 3 (gives Kupon A-EMI),talkToRoeNpc,,,200,200,
1049,Always Stand on 117 (gives Cipher: Koru-Moru),talkToRoeNpc,,,200,300,
100,Speak to Carpenters' Guild Master,,,,100,500,
101,Speak to Blacksmiths' Guild Master,,,,100,500,
102,Speak to Goldsmiths' Guild Master,,,,100,500,
103,Speak to Weavers' Guild Master,,,,100,500,
104,Speak to Tanners' Guild Master,,,,100,500,
105,Speak to Boneworkers' Guild Master,,,,100,500,
106,Speak to Alchemists' Guild Master,,,,100,500,
107,Speak to Culinarians' Guild Master,,,,100,500,
108,Woodworking: Padded Box,synthSuccess,,,100,500,
109,Smithing: Bronze Knife,synthSuccess,,,100,500,
110,Goldsmithing: Copper Ring,synthSuccess,,,100,500,
111,Weaving: Headgear,synthSuccess,,,100,500,
112,Tanning: Leather Bandana,synthSuccess,,,100,500,
113,Boneworking: Shell Powder,synthSuccess,,,100,500,
114,Alchemy: Black Ink,synthSuccess,,,100,500,
115,Cooking: Pebble Soup,synthSuccess,,,100,500,
500,Mog House Exit: San d'Oria,questComplete,SANDORIA,GROWING_FLOWERS,100,300,retro
501,Mog House Exit: Bastok,questComplete,BASTOK,A_LADYS_HEART,100,300,retro
502,Mog House Exit: Windurst,questComplete,WINDURST,FLOWER_CHILD,100,300,retro
503,Mog House Exit: Jeuno,questComplete,JEUNO,PRETTY_LITTLE_THINGS,100,300,retro
504,Mog House Exit: Aht Urhgan,questComplete,AHT_URHGAN,KEEPING_NOTES,100,300,retro
505,Obtain a Support Job,questComplete,,,100,500,retro
506,Obtain an Alter Ego: San d'Oria,questComplete,SANDORIA,TRUST_SANDORIA,100,500,retro
507,Obtain an Alter Ego: Bastok,questComplete,BASTOK,TRUST_BASTOK,100,500,retro
508,Obtain an Alter Ego: Windurst,questComplete,WINDURST,TRUST_WINDURST,100,500,retro
509,Obtain a Chocobo License,questComplete,JEUNO,CHOCOBOS_WOUNDS,100,600,retro
510,Obtain Job: Paladin,questComplete,SANDORIA,A_SQUIRE_S_TEST,100,300,retro
511,Obtain Job: Dark Knight,questComplete,BASTOK,BLADE_OF_DARKNESS,100,300,retro
512,Obtain Job: Beastmaster,questComplete,JEUNO,SAVE_MY_SON,100,300,retro
513,Obtain Job: Bard,questComplete,JEUNO,THE_OLD_MONUMENT,100,300,retro
514,Obtain Job: Ranger,questComplete,WINDURST,THE_FANGED_ONE,100,300,retro
515,Obtain Job: Samurai,questComplete,OUTLANDS,FORGE_YOUR_DESTINY,100,300,retro
516,Obtain Job: Ninja,questComplete,BASTOK,AYAME_AND_KAEDE,100,300,retro
517,Obtain Job: Dragoon,questComplete,SANDORIA,THE_HOLY_CREST,100,300,retro
518,Obtain Job: Summoner,questComplete,WINDURST,I_CAN_HEAR_A_RAINBOW,100,300,retro
519,Obtain Job: Blue Mage,questComplete,AHT_URHGAN,AN_EMPTY_VESSEL,100,300,retro
520,Obtain Job: Corsair,questComplete,AHT_URHGAN,LUCK_OF_THE_DRAW,100,300,retro
521,Obtain Job: Puppetmaster,questComplete,AHT_URHGAN,NO_STRINGS_ATTACHED,100,300,retro
522,Obtain Job: Dancer,questComplete,JEUNO,LAKESIDE_MINUET,100,300,retro
523,Obtain Job: Scholar,questComplete,CRYSTAL_WAR,A_LITTLE_KNOWLEDGE,100,300,retro
524,Obtain Job: Geomancer,questComplete,ADOULIN,DANCES_WITH_LUOPANS,100,300,retro
525,Obtain Job: Runefencer,questComplete,ADOULIN,CHILDREN_OF_THE_RUNE,100,300,retro
629,WAR Artifact Quest I,questComplete,BASTOK,THE_DOORMAN,100,300,retro
630,WAR Artifact Quest II,questComplete,BASTOK,THE_TALEKEEPERS_TRUTH,100,300,retro
631,WAR Artifact Quest III,questComplete,BASTOK,THE_TALEKEEPERS_GIFT,100,300,retro
632,MNK Artifact Quest I,questComplete,BASTOK,GHOSTS_OF_THE_PAST,100,300,retro
633,MNK Artifact Quest II,questComplete,BASTOK,THE_FIRST_MEETING,100,300,retro
634,MNK Artifact Quest III,questComplete,BASTOK,TRUE_STRENGTH,100,300,retro
635,WHM Artifact Quest I,questComplete,SANDORIA,MESSENGER_FROM_BEYOND,100,300,retro
636,WHM Artifact Quest II,questComplete,SANDORIA,PRELUDE_OF_BLACK_AND_WHITE,100,300,retro
637,WHM Artifact Quest III,questComplete,SANDORIA,PIEUJE_S_DECISION,100,300,retro
638,BLM Artifact Quest I,questComplete,WINDURST,THE_THREE_MAGI,100,300,retro
639,BLM Artifact Quest II,questComplete,WINDURST,RECOLLECTIONS,100,300,retro
640,BLM Artifact Quest III,questComplete,WINDURST,THE_ROOT_OF_THE_PROBLEM,100,300,retro
641,RDM Artifact Quest I,questComplete,SANDORIA,THE_CRIMSON_TRIAL,100,300,retro
642,RDM Artifact Quest II,questComplete,SANDORIA,ENVELOPED_IN_DARKNESS,100,300,retro
643,RDM Artifact Quest III,questComplete,SANDORIA,PEACE_FOR_THE_SPIRIT,100,300,retro
644,THF Artifact Quest I,questComplete,WINDURST,THE_TENSHODO_SHOWDOWN,100,300,retro
645,THF Artifact Quest II,questComplete,WINDURST,AS_THICK_AS_THIEVES,100,300,retro
646,THF Artifact Quest III,questComplete,WINDURST,HITTING_THE_MARQUISATE,100,300,retro
647,PLD Artifact Quest I,questComplete,SANDORIA,SHARPENING_THE_SWORD,100,300,retro
648,PLD Artifact Quest II,questComplete,SANDORIA,A_BOY_S_DREAM,100,300,retro
649,PLD Artifact Quest III,questComplete,SANDORIA,UNDER_OATH,100,300,retro
650,DRK Artifact Quest I,questComplete,BASTOK,DARK_LEGACY,100,300,retro
651,DRK Artifact Quest II,questComplete,BASTOK,DARK_PUPPET,100,300,retro
652,DRK Artifact Quest III,questComplete,BASTOK,BLADE_OF_EVIL,100,300,retro
653,BST Artifact Quest I,questComplete,JEUNO,WINGS_OF_GOLD,100,300,retro
654,BST Artifact Quest II,questComplete,JEUNO,SCATTERED_INTO_SHADOW,100,300,retro
655,BST Artifact Quest III,questComplete,JEUNO,A_NEW_DAWN,100,300,retro
656,BRD Artifact Quest I,questComplete,JEUNO,PAINFUL_MEMORY,100,300,retro
657,BRD Artifact Quest II,questComplete,JEUNO,THE_REQUIEM,100,300,retro
658,BRD Artifact Quest III,questComplete,JEUNO,THE_CIRCLE_OF_TIME,100,300,retro
659,RNG Artifact Quest I,questComplete,WINDURST,SIN_HUNTING,100,300,retro
660,RNG Artifact Quest II,questComplete,WINDURST,FIRE_AND_BRIMSTONE,100,300,retro
661,RNG Artifact Quest III,questComplete,WINDURST,UNBRIDLED_PASSION,100,300,retro
662,SAM Artifact Quest I,questComplete,OUTLANDS,THE_SACRED_KATANA,100,300,retro
663,SAM Artifact Quest II,questComplete,OUTLANDS,YOMI_OKURI,100,300,retro
664,SAM Artifact Quest III,questComplete,OUTLANDS,A_THIEF_IN_NORG,100,300,retro
665,NIN Artifact Quest I,questComplete,OUTLANDS,TWENTY_IN_PIRATE_YEARS,100,300,retro
666,NIN Artifact Quest II,questComplete,OUTLANDS,I_LL_TAKE_THE_BIG_BOX,100,300,retro
667,NIN Artifact Quest III,questComplete,OUTLANDS,TRUE_WILL,100,300,retro
668,DRG Artifact Quest I,questComplete,SANDORIA,A_CRAFTSMAN_S_WORK,100,300,retro
669,DRG Artifact Quest II,questComplete,SANDORIA,CHASING_QUOTAS,100,300,retro
670,DRG Artifact Quest III,questComplete,SANDORIA,KNIGHT_STALKER,100,300,retro
671,SMN Artifact Quest I,questComplete,WINDURST,THE_PUPPET_MASTER,100,300,retro
672,SMN Artifact Quest II,questComplete,WINDURST,CLASS_REUNION,100,300,retro
673,SMN Artifact Quest III,questComplete,WINDURST,CARBUNCLE_DEBACLE,100,300,retro
674,BLU Artifact Quest I,questComplete,AHT_URHGAN,BEGINNINGS,100,300,retro
675,BLU Artifact Quest II,questComplete,AHT_URHGAN,OMENS,100,300,retro
676,BLU Artifact Quest III,questComplete,AHT_URHGAN,TRANSFORMATIONS,100,300,retro
677,COR Artifact Quest I,questComplete,AHT_URHGAN,EQUIPPED_FOR_ALL_OCCASIONS,100,300,retro
678,COR Artifact Quest II,questComplete,AHT_URHGAN,NAVIGATING_THE_UNFRIENDLY_SEAS,100,300,retro
679,COR Artifact Quest III,questComplete,AHT_URHGAN,AGAINST_ALL_ODDS,100,300,retro
680,PUP Artifact Quest I,questComplete,AHT_URHGAN,THE_WAYWARD_AUTOMATON,100,300,retro
681,PUP Artifact Quest II,questComplete,AHT_URHGAN,OPERATION_TEATIME,100,300,retro
682,PUP Artifact Quest III,questComplete,AHT_URHGAN,PUPPETMASTER_BLUES,100,300,retro
683,DNC Artifact Quest I,questComplete,JEUNO,THE_UNFINISHED_WALTZ,100,300,retro
684,DNC Artifact Quest II,questComplete,JEUNO,THE_ROAD_TO_DIVADOM,100,300,retro
685,DNC Artifact Quest III,questComplete,JEUNO,COMEBACK_QUEEN,100,300,retro
686,SCH Artifact Quest I,questComplete,CRYSTAL_WAR,ON_SABBATICAL,100,300,retro
687,SCH Artifact Quest II,questComplete,CRYSTAL_WAR,DOWNWARD_HELIX,100,300,retro
688,SCH Artifact Quest III,questComplete,CRYSTAL_WAR,SEEING_BLOOD_RED,100,300,retro
689,GEO Artifact Quest I,questComplete,ADOULIN,FOR_WHOM_THE_BELL_TOLLS,100,300,retro
690,GEO Artifact Quest II,questComplete,ADOULIN,THE_BLOODLINE_OF_ZACARIAH,100,300,retro
691,GEO Artifact Quest III,questComplete,ADOULIN,THE_COMMUNION,100,300,retro
692,RUN Artifact Quest I,questComplete,ADOULIN,FORGING_NEW_BONDS,100,300,retro
693,RUN Artifact Quest II,questComplete,ADOULIN,LEGACIES_LOST_AND_FOUND,100,300,retro
694,RUN Artifact Quest III,questComplete,ADOULIN,DESTINYS_DEVICE,100,300,retro
705,Level Cap Increase: 55 +,questComplete,JEUNO,IN_DEFIANT_CHALLENGE,100,300,retro
706,Level Cap Increase: 60,questComplete,JEUNO,ATOP_THE_HIGHEST_MOUNTAINS,100,300,retro
707,Level Cap Increase: 65,questComplete,JEUNO,WHENCE_BLOWS_THE_WIND,100,300,retro
708,Level Cap Increase: 70,questComplete,JEUNO,RIDING_ON_THE_CLOUDS,100,300,retro
709,Level Cap Increase: 75,questComplete,JEUNO,SHATTERING_STARS,100,300,retro
710,Level Cap Increase: 80,questComplete,JEUNO,NEW_WORLDS_AWAIT,100,300,retro
711,Level Cap Increase: 85,questComplete,JEUNO,EXPANDING_HORIZONS,100,300,retro
712,Level Cap Increase: 90,questComplete,JEUNO,BEYOND_THE_STARS,100,300,retro
713,Level Cap Increase: 95,questComplete,JEUNO,DORMANT_POWERS_DISLODGED,100,300,retro
714,Level Cap Increase: 99,questComplete,JEUNO,BEYOND_INFINITY,100,300,retro
715,Inventory Expansion 35,questComplete,JEUNO,THE_GOBBIEBAG_PART_I,100,300,retro
716,Inventory Expansion 40,questComplete,JEUNO,THE_GOBBIEBAG_PART_II,100,300,retro
717,Inventory Expansion 45,questComplete,JEUNO,THE_GOBBIEBAG_PART_III,100,300,retro
718,Inventory Expansion 50,questComplete,JEUNO,THE_GOBBIEBAG_PART_IV,100,300,retro
719,Inventory Expansion 55,questComplete,JEUNO,THE_GOBBIEBAG_PART_V,100,300,retro
720,Inventory Expansion 60,questComplete,JEUNO,THE_GOBBIEBAG_PART_VI,100,300,retro
721,Inventory Expansion 65,questComplete,JEUNO,THE_GOBBIEBAG_PART_VII,100,300,retro
